Mesec,Kolicina(l),Skupna cena($)
1,206808.68000000014,3101926.4099999918
2,220448.07000000018,3238529.559999981
3,236121.6100000005,3739737.4199999683
4,244784.19000000056,3678158.2000000007
5,260013.3900000001,3788373.6100000064
6,266225.7800000003,3746400.739999932
7,238908.9100000005,3282433.7499999525
8,237938.8000000001,3368905.3699999563
9,189006.85000000036,2980050.6000000057
10,267046.55999999976,4040425.8000000166
11,170003.87999999986,2820874.5899999845
12,233509.64999999973,3861972.6299999924
